PLD,2001-07-11,2001-08-03
PM,2010-05-16,2010-06-08
PNC,1982-08-29,1982-09-21
PNR,1980-06-24,1980-07-17
PNW,1980-04-24,1980-05-17
PODD,2009-08-26,2009-09-18
POOL,1999-09-20,1999-10-13
PPG,1986-05-16,1986-06-08
PPL,1986-05-16,1986-06-08
PRU,2005-01-02,2005-01-25
PSA,1986-12-13,1987-01-05
PSX,2013-11-10,2013-12-03
PTC,1994-09-16,1994-10-09
PWR,2001-09-20,2001-10-13
PXD,2001-04-12,2001-05-05
PYPL,2016-08-18,2016-09-10
QCOM,1996-06-07,1996-06-30
QRVO,2016-03-12,2016-04-04
RCL,1997-08-11,1997-09-03
RE,1999-09-12,1999-10-05
REG,1998-01-16,1998-02-08
REGN,1995-11-02,1995-11-25
RF,1986-05-16,1986-06-08
RHI,1986-05-16,1986-06-08
RJF,1989-03-10,1989-04-02
RL,2001-02-22,2001-03-17
RMD,1999-05-29,1999-06-21
ROK,1987-11-27,1987-12-20
ROL,1986-05-16,1986-06-08
ROP,1996-07-30,1996-08-22
ROST,1990-12-29,1991-01-21
RSG,2002-01-17,2002-02-09
RTX,1970-12-24,1971-01-16
SBAC,2002-11-13,2002-12-06
SBUX,1996-11-22,1996-12-15
SCHW,1992-10-24,1992-11-16
SEDG,2016-05-22,2016-06-14
SEE,1986-05-16,1986-06-08
SHW,1986-05-16,1986-06-08
SJM,1998-11-27,1998-12-20
SLB,1987-11-27,1987-12-20
SNA,1980-04-24,1980-05-17
SNPS,1996-08-10,1996-09-02
SO,1987-11-27,1987-12-20
SPG,1998-02-25,1998-03-20
SPGI,1980-04-24,1980-05-17
SRE,2002-01-16,2002-02-08
STE,1996-11-01,1996-11-24
STLD,2000-09-02,2000-09-25
STT,1986-05-16,1986-06-08
STX,2005-11-09,2005-12-02
STZ,1996-08-28,1996-09-20
SWK,1986-05-16,1986-06-08
SWKS,1990-03-17,1990-04-09
SYF,2015-10-31,2015-11-23
SYK,1986-05-16,1986-06-08
SYY,1980-06-29,1980-07-22
T,1989-07-11,1989-08-03
TAP,1982-04-15,1982-05-08
TDG,2008-08-25,2008-09-17
TDY,2003-03-31,2003-04-23
TECH,1993-12-31,1994-01-23
TEL,2009-09-20,2009-10-13
TER,1980-04-24,1980-05-17
TFC,1986-05-17,1986-06-09
TFX,1986-05-16,1986-06-08
TGT,1980-04-24,1980-05-17
TJX,1992-08-09,1992-09-01
TMO,1986-05-16,1986-06-08
TMUS,2009-08-03,2009-08-26
TPR,2003-12-28,2004-01-20
TRGP,2012-09-15,2012-10-08
TRMB,1995-03-27,1995-04-19
TROW,1991-07-20,1991-08-12
TRV,1982-08-29,1982-09-21
TSCO,1998-04-21,1998-05-14
TSLA,2012-04-30,2012-05-23
TSN,1986-05-16,1986-06-08
TT,1986-05-16,1986-06-08
TTWO,2001-01-04,2001-01-27
TXN,1979-09-10,1979-10-03
TXT,1980-04-24,1980-05-17
TYL,1986-05-16,1986-06-08
UAL,2008-07-25,2008-08-17
UDR,1986-05-16,1986-06-08
UHS,1987-06-30,1987-07-23
ULTA,2010-01-12,2010-02-04
UNH,1990-04-20,1990-05-13
UNP,1986-03-12,1986-04-04
UPS,2003-03-19,2003-04-11
URI,2001-08-03,2001-08-26
USB,1980-06-24,1980-07-17
V,2010-05-17,2010-06-09
VFC,1986-05-16,1986-06-08
VICI,2018-10-08,2018-10-31
VLO,1987-12-01,1987-12-24
VMC,1980-04-24,1980-05-17
VRSK,2011-09-15,2011-10-08
VRSN,2001-09-09,2001-10-02
VRTX,1996-02-06,1996-02-29
VTR,2001-01-21,2001-02-13
VTRS,1986-05-16,1986-06-08
VZ,1989-07-11,1989-08-03
WAB,1999-06-10,1999-07-03
WAT,1999-10-20,1999-11-12
WBA,1986-05-16,1986-06-08
WBD,2008-01-24,2008-02-16
WDC,1985-03-11,1985-04-03
WEC,1986-05-16,1986-06-08
WELL,1986-05-17,1986-06-09
WFC,1979-09-10,1979-10-03
WHR,1980-04-24,1980-05-17
